,names,companies,car_births,car_types,car_prices_1,car_prices_2,fuel_efficiencies,fuels,images
0,2022 캐스퍼,현대,국산차,경형,1385.0,1960.0,12.3~14.3km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210901_195/auto_163045763221657AiV_PNG/20210901095324_65Cye5HC.png?type=f160_116
1,2022 GV60,제네시스,국산차,준중형,5990.0,7040.0,4.1~5.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20210930_59/auto_1632972020634VY33G_PNG/20210930122017_unKnOest.png?type=f160_116
2,2022 EV6,기아,국산차,준중형,4630.0,5980.0,4.6~5.6km/kWh,전기,https://imgauto-phinf.pstatic.net/20210331_251/auto_1617151412017aCxpE_PNG/20210331094328_iHjfnzpl.png?type=f160_116
3,2022 GV80,제네시스,국산차,준대형,6136.0,7056.0,8.0~11.8km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210830_75/auto_1630286585462aXVk8_PNG/20210830102254_UmdESY5U.png?type=f160_116
4,2022 스포티지 하이브리드,기아,국산차,준중형,3109.0,3916.0,15.2~16.7km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210720_2/auto_1626745439427je1Hj_PNG/20210720104356_VBogd3fW.png?type=f160_116
5,2021 GV70,제네시스,국산차,중형,4791.0,5724.0,8.5~13.5km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20201208_104/auto_1607391617511Vx54E_PNG/20201208104013_Rj7kd6MG.png?type=f160_116
6,2020 아반떼,현대,국산차,준중형,1570.0,2779.0,10.5~15.4km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20200407_287/auto_1586224652431bUq6f_PNG/20200407105728_c9QG5Lkd.png?type=f160_116
7,2022 셀토스,기아,국산차,소형,1944.0,2930.0,10.9~17.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210722_200/auto_1626915050553UEENg_PNG/20210722094910_MBPYF3If.png?type=f160_116
8,2022 G80,제네시스,국산차,준대형,5311.0,6251.0,8.4~14.6km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210621_179/auto_1624263275728ogdFr_PNG/20210621171434_vmUcokpH.png?type=f160_116
9,2022 스포티지,기아,국산차,준중형,2422.0,3731.0,11.1~14.6km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210706_146/auto_1625534646734zB9he_PNG/20210706102403_S4NwJzs4.png?type=f160_116
10,2022 카니발,기아,국산차,대형,3180.0,4381.0,8.9~13.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210712_252/auto_1626061998763bsOjh_PNG/20210712125308_DWknO2Ak.png?type=f160_116
11,2022 베뉴,현대,국산차,소형,1689.0,2236.0,13.3~13.7km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210708_185/auto_1625727297452FYAA0_PNG/20210708155442_CPvewnAs.png?type=f160_116
12,2021 그랜저,현대,국산차,준대형,3182.0,4388.0,7.4~11.9km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20210511_131/auto_1620704669914k7Gkl_PNG/20210511124238_Yo6bIqLr.png?type=f160_116
13,2022 스팅어,기아,국산차,중형,3878.0,5006.0,8.5~11.2km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210906_154/auto_1630896140653Er0L7_PNG/20210906114208_a6EehRZi.png?type=f160_116
14,2022 쏘렌토 하이브리드,기아,국산차,중형,3515.0,4546.0,13.2~15.3km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210819_274/auto_1629336482214IQuxd_PNG/20210819102748_CUJIkpG2.png?type=f160_116
15,2021 아이오닉 5,현대,국산차,준중형,4695.0,5755.0,4.5~5.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20210602_34/auto_1622623687340ICBCd_PNG/20210602174804_IvlK86is.png?type=f160_116
16,2021 G70,제네시스,국산차,중형,4035.0,4830.0,8.9~14.9km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20201020_181/auto_1603154964560V68ob_PNG/20201020094920_BYB5YTiL.png?type=f160_116
17,2021 투싼,현대,국산차,준중형,2435.0,3696.0,11.0~14.8km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200917_139/auto_1600330991366jiUjg_PNG/20200917172308_oXaK71Hw.png?type=f160_116
18,2020 팰리세이드,현대,국산차,준대형,3573.0,5563.0,8.9~12.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20200506_229/auto_1588727219699FW5rL_PNG/20200506100647_lPajgN1s.png?type=f160_116
19,2022 레이,기아,국산차,경형,1275.0,1580.0,12.7~13.0km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210705_117/auto_1625460707877OIULa_PNG/20210705135124_dgR8ELMY.png?type=f160_116
20,2022 QM6,르노삼성,국산차,중형,2465.0,3908.0,8.6~12.5km/ℓ,"디젤,가솔린,LPG",https://imgauto-phinf.pstatic.net/20210903_96/auto_1630633625545TlDlR_PNG/20210903104703_VV5lCkXg.png?type=f160_116
21,2022 쏘렌토,기아,국산차,중형,2958.0,4273.0,9.7~14.3km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210705_287/auto_1625445371277N0B99_PNG/20210705093459_h5ew15Q8.png?type=f160_116
22,2022 니로 하이브리드,기아,국산차,소형,2439.0,3017.0,17.1~19.5km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210604_294/auto_162277636678023qbI_PNG/20210604121220_JSZe96m6.png?type=f160_116
23,2022 EV6 GT,기아,국산차,준중형,7200.0,,정보없음,전기,https://imgauto-phinf.pstatic.net/20210413_246/auto_1618283487781RBkXY_PNG/20210413121115_dzxgxXNt.png?type=f160_116
24,2022 SM6,르노삼성,국산차,중형,2386.0,3387.0,9.5~13.6km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20211001_125/auto_1633071521693rfKhf_PNG/20211001155838_8x1qrgYs.png?type=f160_116
25,2022 모닝,기아,국산차,경형,1175.0,1520.0,15.7km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210623_215/auto_1624418803978EBiIc_PNG/20210623122627_3NbW6DDE.png?type=f160_116
26,2022 K5,기아,국산차,중형,2381.0,3171.0,9.8~13.6km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20210625_168/auto_1624584909067Px7to_PNG/20210625103339_cXj9IY66.png?type=f160_116
27,2022 렉스턴,쌍용,국산차,준대형,3737.0,5018.0,11.1~11.6km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210803_124/auto_1627954050418Cx1jG_PNG/20210803102715_DuGjQToR.png?type=f160_116
28,2021 아반떼 N,현대,국산차,준중형,3212.0,3402.0,10.4~10.7km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210714_258/auto_1626232746748pwqPy_PNG/20210714121904_LgA0sArj.png?type=f160_116
29,2021 K8,기아,국산차,준대형,3220.0,4526.0,7.7~12.0km/ℓ,"가솔린,LPG",https://imgauto-phinf.pstatic.net/20210413_121/auto_16182756630454OIf5_PNG/20210413100059_mjk3TjYX.png?type=f160_116
30,2022 포르쉐 타이칸 크로스 투리스모,포르쉐,수입차,준대형,13800.0,260.0,억,억,https://imgauto-phinf.pstatic.net/20211014_96/auto_1634201488972wd4m4_PNG/20211014175112_5sd2NMNE.png?type=f160_116
31,2022 아우디 R8 스파이더,아우디,수입차,스포츠카,162000.0,,13.0~13.4ℓ/100km,가솔린,https://imgauto-phinf.pstatic.net/20211008_237/auto_1633653675800nzytF_PNG/20211008094103_9rlfhapm.png?type=f160_116
32,2022 렉서스 LX,렉서스,수입차,대형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20211014_45/auto_16341742460849AucU_PNG/20211014101711_PRwN1SYu.png?type=f160_116
33,2022 렉서스 LX F 스포츠,렉서스,수입차,대형,,,정보없음,가솔린,https://imgauto-phinf.pstatic.net/20211014_196/auto_1634174336314Ok1oo_PNG/20211014101842_d2SciAa2.png?type=f160_116
34,2022 볼보 S90,볼보,수입차,준대형,6150.0,7250.0,9.9~11.2km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20211013_145/auto_1634101512942u146I_PNG/20211013140458_PfhlmFUu.png?type=f160_116
35,2022 포르쉐 911 GT3,포르쉐,수입차,스포츠카,22000.0,,억,65km,https://imgauto-phinf.pstatic.net/20211014_254/auto_1634200430502l0V95_PNG/20211014173333_84SKRYqh.png?type=f160_116
36,2022 볼보 S60,볼보,수입차,중형,4810.0,5410.0,11.3km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20211013_262/auto_1634096213480kQIGt_PNG/20211013123639_5T8TlOfG.png?type=f160_116
37,2022 볼보 V60 크로스 컨트리,볼보,수입차,중형,5330.0,5960.0,9.9km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20211013_24/auto_1634096561990ifGph_PNG/20211013124224_GmHI6ZwI.png?type=f160_116
38,2022 볼보 V90 크로스 컨트리,볼보,수입차,준대형,6950.0,7970.0,10.4~10.6km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20211013_70/auto_163410028452192O4s_PNG/20211013134431_HOu0PVD1.png?type=f160_116
39,2022 아우디 R8,아우디,수입차,스포츠카,149000.0,,12.9~13.0ℓ/100km,가솔린,https://imgauto-phinf.pstatic.net/20211008_98/auto_1633653361172F6TWh_PNG/20211008093549_POcV0rWg.png?type=f160_116
40,2022 BMW 2시리즈 액티브 투어러,BMW,수입차,준중형,,,5.3~6.8ℓ/100km,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20211006_167/auto_1633492401312YyE2e_PNG/20211006125306_XRzEAEtC.png?type=f160_116
41,2021 벤츠 E클래스,벤츠,수입차,준대형,6450.0,1460.0,억,91132km,https://imgauto-phinf.pstatic.net/20201109_239/auto_1604892407514cdRGP_PNG/20201109122644_1RocFNXN.png?type=f160_116
42,2022 볼보 XC60,볼보,수입차,중형,6190.0,7200.0,9.1~9.5km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210913_154/auto_1631496910837p2Nxo_PNG/20210913103457_WMxzYuZw.png?type=f160_116
43,2021 BMW 5시리즈,BMW,수입차,준대형,6360.0,12180.0,억,79156km,https://imgauto-phinf.pstatic.net/20200527_254/auto_15905516585213Tz8q_PNG/20200527125410_OYtEcTAt.png?type=f160_116
44,2021 벤츠 S클래스,벤츠,수입차,대형,14060.0,21860.0,억,억,https://imgauto-phinf.pstatic.net/20201029_210/auto_1603940833424952s7_PNG/20201029120710_HcVA5KYo.png?type=f160_116
45,2022 볼보 S90 플러그인 하이브리드,볼보,수입차,준대형,8540.0,,11.2km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20211013_178/auto_1634103130806bzYjb_PNG/20211013143149_rvsodgIg.png?type=f160_116
46,2021 테슬라 모델3,테슬라,수입차,중형,5479.0,7479.0,5.1~6.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20210215_20/auto_1613357796593c1hLw_PNG/20210215111524_dJG1zEzC.png?type=f160_116
47,2021 벤츠 EQA,벤츠,수입차,준중형,5990.0,6790.0,4.1km/kWh,전기,https://imgauto-phinf.pstatic.net/20210121_100/auto_1611190342241ipA7n_PNG/20210121095204_XtCxMMbS.png?type=f160_116
48,2021 포르쉐 파나메라,포르쉐,수입차,대형,14290.0,29410.0,억,억,https://imgauto-phinf.pstatic.net/20210225_286/auto_1614229734266HwuFE_PNG/20210225140839_UXtrMRtT.png?type=f160_116
49,2021 BMW 3시리즈,BMW,수입차,중형,5170.0,8070.0,9.9~14.3km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20201207_32/auto_160731954856467dy1_PNG/20201207143858_DfQjfP7O.png?type=f160_116
50,2021 테슬라 모델Y,테슬라,수입차,중형,6999.0,7999.0,4.8~5.4km/kWh,전기,https://imgauto-phinf.pstatic.net/20210215_24/auto_1613363977843iDeLi_PNG/20210215133934_Ci191Qe5.png?type=f160_116
51,2022 벤츠 CLS클래스,벤츠,수입차,준대형,9370.0,,13.9km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210407_298/auto_1617778180963JK16W_PNG/20210407154928_GbfaQoQ1.png?type=f160_116
52,2021 폭스바겐 티구안,폭스바겐,수입차,준중형,4005.0,4646.0,13.4~15.6km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210722_246/auto_16269342747482VrtX_PNG/20210722151059_zYu7v93G.png?type=f160_116
53,2022 쉐보레 트레일블레이저,쉐보레,수입차,소형,1959.0,2853.0,11.6~12.9km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20201221_59/auto_1608521040474HCjuT_PNG/20201221122340_jN7G9EiY.png?type=f160_116
54,2021 아우디 A6,아우디,수입차,준대형,6457.0,8824.0,10.8~15.0km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210115_125/auto_1610682648332tvOev_PNG/20210115125036_5kg9B9y4.png?type=f160_116
55,2021 BMW X5,BMW,수입차,준대형,1330.0,14520.0,억,억,https://imgauto-phinf.pstatic.net/20201207_208/auto_1607330695506wrWws_PNG/20201207174444_yAe3Bqma.png?type=f160_116
56,2021 BMW X6,BMW,수입차,준대형,11230.0,14800.0,억,억,https://imgauto-phinf.pstatic.net/20201207_106/auto_1607329856688C80s5_PNG/20201207173046_tNQ8lNhE.png?type=f160_116
57,2021 벤츠 G클래스,벤츠,수입차,중형,16060.0,,억,84km,https://imgauto-phinf.pstatic.net/20210408_119/auto_1617846230950WXdJr_PNG/20210408104338_fUN8ogHb.png?type=f160_116
58,2021 BMW X3,BMW,수입차,중형,6410.0,8910.0,8.7~12.1km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20201207_243/auto_1607328023844YM8zp_PNG/20201207170012_w6FG0q02.png?type=f160_116
59,2022 렉서스 ES 하이브리드,렉서스,수입차,준대형,6190.0,6860.0,17.2km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210419_109/auto_1618829757494qck7z_PNG/20210419195544_oeErfwqq.png?type=f160_116
